#M	#F	#H	%M	%F	%H
3106747065291991	31698725380795288	164207660440141735	1.5610764074891696	15.927956573055248	82.51096701945558
4459770348710274	46391993354243394	257728328740848029	1.4452553673800208	15.0340201750676	83.52072445755238
7050172612411020	74999877818900480	392740038333448681	1.484903071745481	15.796428694209741	82.71866823404477
12373157716184807	133905546955406484	582357953961386094	1.6981245137183398	18.377547350778606	79.92432813550306
23425381150370553	255386691865867095	842029761966796173	2.0899809785138097	22.785256928755956	75.12476209273024
45825729656376277	499086425706622085	1189845436127524667	2.641621508455386	28.769807848357733	68.58857064318688
89506184455572044	969121011665691603	1648135431442010045	3.3067614996645927	35.80369411772652	60.88954438260889
171123875002848643	1838249424127625957	2249312158464080839	4.018232309166711	43.16471461515097	52.81705307568232
317327409780685627	3380334758610259488	3053049119455254955	4.700651475822902	50.07375688982765	45.22559163434945
568965166966260752	6011873604233688564	4189759303215053666	5.282577281551411	55.81745380058868	38.89996891785991
986246822675947669	10342628061902781171	5958658001347003251	5.70495992218114	59.827091176919794	34.46794890089907
1654762276676167341	17234373527291109882	9029048082923287252	5.927184530986587	61.731714344727806	32.34110112428561
2692130649411964738	27865542490491449135	14821744875162985646	5.9324926743620905	61.40568502055232	32.66182230508559
4254918958092779470	43798374032874907490	26183429031227887091	5.731555545812796	58.998259675016236	35.27018477917097
6545422770212175664	67045163650768966506	48508115081794428892	5.360763619638808	54.91062789823763	39.72860848212357
9818250890335114349	100135154318916415037	91502688911663381074	4.873643030347919	49.70569629867579	45.42066067097629
14388339137996488042	146204495151495115134	171831198371332358683	4.3283089441000415	43.98132529144463	51.69036576445533
20647390393548005163	209194993647439809447	316896846315219946250	3.7764603758351054	38.26229800834788	57.961241615817016
29109836473217939222	294407523736630322441	570021646621560425566	3.257813732882769	32.948480310964044	63.79370595615319
40541538922044087565	410009863035131592739	997251488264527616615	2.800211216309696	28.31945327670581	68.8803355069845
56289578531325635046	570797816167923856574	1695940601635618031805	2.4231123611138528	24.571284421388548	73.0056032174976
79050874629554027268	806761354137579355591	2805151967252617192663	2.141740489241284	21.857739910009744	76.00051960074897
