9966054	58745082	197256372	3.747094551113364	22.08731526709646	74.16559018179018
15045476	88524079	303267732	3.6981556216109563	21.759086944260346	74.5427574341287
22464747	133649011	464466365	3.619959158762808	21.53614111162887	74.84389972960832
33812854	204948166	715202456	3.544460018718788	21.483858780354396	74.97168120092681
52009813	321341888	1115306764	3.493737094357637	21.586004819446615	74.92025808619574
82213576	514561938	1763873634	3.4826681495491765	21.797476276216205	74.71985557423461
132878174	834177222	2820207084	3.508554653967369	22.025862384906578	74.46558296112606
217013649	1354212468	4530095293	3.556830306371288	22.195396324810236	74.24777336881847
353644242	2182024336	7260568773	3.61000075160388	22.274106453507468	74.11589279488865
569560605	3469836840	11553799558	3.6526223896896917	22.252247818920218	74.0951297913901
902030854	5439369630	18221257381	3.672366642721219	22.144873978604352	74.18275937867443
1405712504	8434867270	28504804556	3.665923626954556	21.99708626574092	74.33699010730453
2167010901	13018487551	44373325001	3.638438060667981	21.858201348240794	74.50336059109122
3330820131	20135738509	69032223446	3.6009340403024948	21.768652575640356	74.63041338405715
5146011854	31387381552	107758387066	3.566392927695968	21.75271623187903	74.68089084042501
8037724342	49432285251	169195396494	3.5460745778360705	21.80848242542429	74.64544299673963
12709503131	78553068196	267320050475	3.54437230313349	21.90654633547048	74.54908136139603
20286381245	125454221992	424246608500	3.559094103739369	22.010006436756044	74.43089945950459
32506141617	200354740786	674318518736	3.5832098453941126	22.08545967142184	74.33133048318405
51982274570	318605964202	1070237249704	3.6078119790192673	22.112737923521752	74.27945009745898
82605578591	503370542522	1692637829428	3.625255544994244	22.091084907229995	74.28365954777576
130228892439	790200740717	2665685693752	3.631475303146071	22.035006369924037	74.33351832692989
203863907404	1234929069046	4183265253060	3.6261436484938026	21.965782256823626	74.40807409468258
317792480414	1927182335433	6552515439732	3.6123084104863805	21.906046832059424	74.48164475745419
495175609538	3012600653697	10265214857709	3.5952655831238256	21.873249080338596	74.53148533653759
773937887358	4727852909642	16112036474381	3.5807535502181786	21.87420511082819	74.54504133895362
1215928405579	7454226628643	25360613117018	3.5730266216006483	21.904373699455814	74.52259967894354
1920710045881	11797454610311	40027000633715	3.57373548954681	21.950727189458448	74.47553732099475
3045691963176	18705382227026	63287895871340	3.5815249890395635	21.99624738339266	74.42222762756778
4835653578590	29645371038062	100107605733530	3.5929138783924484	22.026653336859603	74.38043278474795
7667285928683	46879879049727	158206946908500	3.6038250263095106	22.034769920050298	74.3614050536402
12119087845510	73907328817876	249591685874700	3.6109756159933966	22.02125816782752	74.36776621617908
19084897752806	116184237593393	393004923711018	3.6126887977171953	21.993174868503086	74.39413633377971
29962259510721	182314516117767	617891799041067	3.609177753162645	21.961143999016887	74.42967824782046
46964245830015	285987484473213	970810103477035	3.6022105121640178	21.935561930355874	74.4622275574801
73627928565753	449084741982407	1525701539383831	3.5943867313924516	21.92353186210893	74.48208140649862
115625699091092	706564741152188	2400140526928902	3.5882626666546775	21.92713127082186	74.48460606252347
182030399323570	1114006976308665	3780738939068498	3.585550909471188	21.94319598212067	74.47125310840815
287253303059350	1759166423545170	5962553750686899	3.586643205572172	21.964942555161368	74.44841423926646
453995134664893	2779696705974600	9410041729801329	3.5906730566220286	21.984777601397102	74.42454934198086
717758946631229	4390572205679112	14851719512728773	3.595977578796504	21.996798902767257	74.40722351843624
1133845845342282	6927126546646384	23428305983724536	3.6007361992035536	21.998365488073816	74.40089831272263
1788391814711876	10913538380420414	36926622123049562	3.6035542669994087	21.990442740402372	74.40600299259822
2816038810556806	17172696334166729	58151499414522401	3.603826922763695	21.97676578657617	74.41940729066013
4428426613683204	27002696349098303	91519037293116801	3.601806296523927	21.96231082000798	74.4358828834681
6960090827196047	42459090096436958	144001636121293908	3.59841868808743	21.95166515431209	74.44991615760048
