#M	#F	#H	%M	%F	%H
16428087393753	143126372172367	1809238905939341	0.8344241544889254	7.269750837240415	91.89582500827066
26242182166118	230919206597705	2805933668619268	0.8567211162077879	7.5387541774491105	91.6045247063431
40931304944132	366329751972814	4286639728193378	0.8720104411659387	7.804377824406953	91.3236117344271
62471008053151	570190160675407	6494992598180030	0.8764596330868913	7.99968936934924	91.12385099756386
93948626629366	872812252356757	9849626761843460	0.8685767351267047	8.069350705054937	91.06207255981836
140743452368196	1322266433261106	15084102854617538	0.850561995784749	7.990919346581918	91.15851865763334
212688184259069	2000615973186779	23462715203785716	0.8283534190670095	7.7917684398054545	91.37987814112753
327533175286846	3052270975763162	37087133383790819	0.809384636543968	7.542629024336837	91.6479863391192
515908140370130	4728666008089688	59303231125203798	0.7992651929571144	7.325835461084295	91.8748993459586
827778950307677	7452667531104717	95215489491955902	0.7998178310312417	7.200927708912596	91.99925446005616
1340214836949050	11904637464605053	152336829985021919	0.8093980073408781	7.189586009883281	92.00101598277584
2166342931290249	19131022855672782	241484231687304470	0.8243891323106767	7.280198856979001	91.89541201071032
3466237557896991	30679241309624068	378231678184890410	0.8405503308362073	7.439607355779132	91.71984231338466
5463241594474812	48777279136539043	585602347218123548	0.8538411332122714	7.6233215340639635	91.52283733272377
8475140891760096	76614860836632080	899232672448698270	0.8610124620816492	7.7835107172232245	91.35547682069513
12979435093098590	118857736323822032	1376921463722845326	0.860272464448644	7.877849614614566	91.2618779209368
19744836387876645	182643237331429145	2115181857904788448	0.8519629167798171	7.8808080325514664	91.26722905066872
30074212981855454	279455749165010337	3276007886953566667	0.8387643429674213	7.79397013575306	91.36726552127952
46213482350449028	428441996155762781	5127430341593745299	0.8249334950321138	7.647901333794957	91.52716517117292
71982768377806464	661864261460444824	8101592547409252149	0.8147050041875924	7.491016781607994	91.69427821420442
113679237224941591	1033471103871585707	12874556512685238845	0.8107375115625199	7.370508559682592	91.81875392875489
181290836461170522	1630583060447588591	20474568570476690830	0.8134579429914675	7.316479796332795	91.87006226067574
290068372545399692	2590734357935500011	32433724421233102180	0.8213854069155252	7.336171731269402	91.84244286181507
462584823532337203	4124100598167118859	51017664753764473011	0.8319220026357905	7.416866819148489	91.75121117821573
731667549657207876	6544396766431338218	79606058004806676739	0.842138209924047	7.532501038890259	91.6253607511857
1145162844198548313	10314659495148317137	123359143991516784991	0.849407820994686	7.650748092694	91.49984408631131
1774520005700588591	16121892683655409354	190394949861740288326	0.8519412346084578	7.740067800315302	91.40799096507624
2730719950140116641	25007429782490449269	293814998089484639560	0.8492281816039831	7.777075096874711	91.37369672152131
